input_file,n,si,ti
seq7.mkv,1,58.724,
seq7.mkv,2,58.963,3.288
seq7.mkv,3,59.123,3.296
seq7.mkv,4,60.285,8.214
seq7.mkv,5,60.782,6.55
seq7.mkv,6,60.402,9.481
seq7.mkv,7,60.255,7.88
seq7.mkv,8,59.873,9.597
seq7.mkv,9,60.072,7.486
seq7.mkv,10,59.057,10.651
seq7.mkv,11,59.244,8.174
seq7.mkv,12,59.605,8.011
seq7.mkv,13,59.592,6.073
seq7.mkv,14,59.412,7.238
seq7.mkv,15,59.449,5.735
seq7.mkv,16,59.386,6.532
seq7.mkv,17,59.445,4.413
seq7.mkv,18,59.353,5.912
seq7.mkv,19,59.396,4.874
seq7.mkv,20,59.333,6.775
seq7.mkv,21,59.261,6.199
seq7.mkv,22,59.477,8.909
seq7.mkv,23,59.548,6.737
seq7.mkv,24,58.977,8.671
seq7.mkv,25,58.695,6.75
seq7.mkv,26,59.121,8.564
seq7.mkv,27,58.927,7.067
seq7.mkv,28,58.409,9.014
seq7.mkv,29,58.456,6.749
seq7.mkv,30,59.213,8.952
seq7.mkv,31,59.541,7.684
seq7.mkv,32,58.732,8.93
seq7.mkv,33,58.589,7.329
seq7.mkv,34,58.827,8.999
seq7.mkv,35,58.299,8.455
seq7.mkv,36,57.84,11.13
seq7.mkv,37,57.854,7.907
seq7.mkv,38,58.68,11.67
seq7.mkv,39,58.599,9.835
seq7.mkv,40,57.758,8.994
seq7.mkv,41,57.59,6.516
seq7.mkv,42,58.22,9.075
seq7.mkv,43,57.957,6.984
seq7.mkv,44,57.364,7.7
seq7.mkv,45,57.502,5.916
seq7.mkv,46,59.664,10.209
seq7.mkv,47,60.738,8.725
seq7.mkv,48,59.769,11.813
seq7.mkv,49,59.778,8.016
seq7.mkv,50,60.677,10.987
seq7.mkv,51,60.64,7.86
seq7.mkv,52,59.271,8.461
seq7.mkv,53,59.186,6.342
seq7.mkv,54,59.32,8.578
seq7.mkv,55,58.802,7.768
seq7.mkv,56,58.812,7.153
seq7.mkv,57,59.047,5.579
seq7.mkv,58,59.653,9.096
seq7.mkv,59,60.209,7.903
seq7.mkv,60,60.39,10.731
seq7.mkv,61,60.104,9.407
seq7.mkv,62,59.863,11.454
seq7.mkv,63,59.067,8.019
seq7.mkv,64,58.811,8.36
seq7.mkv,65,58.687,5.847
seq7.mkv,66,59.054,8.407
seq7.mkv,67,72.47,56.03
seq7.mkv,68,73.132,15.243
seq7.mkv,69,72.236,20.924
seq7.mkv,70,71.747,17.751
seq7.mkv,71,70.792,21.628
seq7.mkv,72,71.025,16.041
seq7.mkv,73,71.403,20.422
seq7.mkv,74,70.11,17.831
seq7.mkv,75,70.428,24.248
seq7.mkv,76,69.626,22.514
seq7.mkv,77,70.487,22.209
seq7.mkv,78,70.803,19.789
seq7.mkv,79,70.352,20.858
seq7.mkv,80,70.863,15.68
seq7.mkv,81,71.744,18.459
seq7.mkv,82,71.675,12.486
seq7.mkv,83,71.241,15.181
seq7.mkv,84,71.498,12.33
seq7.mkv,85,71.218,15.093
seq7.mkv,86,71.173,11.858
seq7.mkv,87,71.131,14.899
seq7.mkv,88,71.119,11.946
seq7.mkv,89,70.954,15.425
seq7.mkv,90,70.946,12.642
seq7.mkv,91,70.685,15.305
seq7.mkv,92,70.648,12.094
seq7.mkv,93,71.483,15.564
seq7.mkv,94,71.486,12.276
seq7.mkv,95,70.811,15.59
seq7.mkv,96,70.905,12.639
seq7.mkv,97,71.64,17.203
seq7.mkv,98,76.572,17.608
seq7.mkv,99,75.311,18.616
seq7.mkv,100,70.704,16.099
seq7.mkv,101,69.748,16.196
seq7.mkv,102,69.446,13.343
seq7.mkv,103,70.07,16.598
seq7.mkv,104,69.443,14.001
seq7.mkv,105,69.338,17.121
seq7.mkv,106,68.959,14.355
seq7.mkv,107,69.151,17.249
seq7.mkv,108,69.128,14.995
seq7.mkv,109,68.906,17.754
seq7.mkv,110,68.731,13.846
seq7.mkv,111,67.961,16.308
seq7.mkv,112,67.789,13.06
seq7.mkv,113,67.971,15.688
seq7.mkv,114,67.709,12.381
seq7.mkv,115,67.235,14.611
seq7.mkv,116,66.876,12.219
seq7.mkv,117,66.686,15.719
seq7.mkv,118,66.336,12.921
seq7.mkv,119,65.779,17.151
seq7.mkv,120,65.568,13.779
seq7.mkv,121,65.304,16.355
seq7.mkv,122,64.886,13.012
seq7.mkv,123,64.469,15.458
seq7.mkv,124,64.421,12.367
seq7.mkv,125,64.396,15.783
seq7.mkv,126,64.041,12.97
seq7.mkv,127,63.339,16.194
seq7.mkv,128,63.259,14.056
seq7.mkv,129,61.697,17.517
seq7.mkv,130,61.354,14.215
seq7.mkv,131,61.763,16.233
seq7.mkv,132,64.853,14.619
seq7.mkv,133,66.221,15.57
seq7.mkv,134,63.433,14.357
seq7.mkv,135,62.574,16.422
seq7.mkv,136,62.95,16.184
seq7.mkv,137,63.546,20.225
seq7.mkv,138,64.209,14.374
seq7.mkv,139,61.819,23.319
seq7.mkv,140,61.693,15.883
seq7.mkv,141,62.667,22.415
seq7.mkv,142,61.559,18.363
seq7.mkv,143,61.716,22.103
seq7.mkv,144,61.884,14.35
seq7.mkv,145,61.284,18.597
seq7.mkv,146,61.245,15.473
seq7.mkv,147,60.494,18.76
seq7.mkv,148,58.944,16.545
seq7.mkv,149,59.275,19.762
seq7.mkv,150,59.681,15.74
seq7.mkv,151,60.261,18.566
seq7.mkv,152,59.689,14.964
seq7.mkv,153,58.268,20.256
seq7.mkv,154,58.123,15.08
seq7.mkv,155,57.923,18.009
seq7.mkv,156,59.027,14.665
seq7.mkv,157,59.661,17.095
seq7.mkv,158,59.485,12.166
seq7.mkv,159,60.321,15.44
seq7.mkv,160,60.499,10.965
seq7.mkv,161,60.278,14.786
seq7.mkv,162,61.026,11.43
seq7.mkv,163,60.217,13.16
seq7.mkv,164,59.317,9.627
seq7.mkv,165,59.989,12.684
seq7.mkv,166,63.919,17.219
seq7.mkv,167,65.43,16.034
seq7.mkv,168,61.898,14.318
seq7.mkv,169,60.761,15.815
seq7.mkv,170,61.058,12.148
seq7.mkv,171,60.927,15.144
seq7.mkv,172,60.711,11.439
seq7.mkv,173,19.232,48.542
seq7.mkv,174,19.093,4.831
seq7.mkv,175,18.977,6.379
seq7.mkv,176,18.916,4.588
seq7.mkv,177,18.779,6.314
seq7.mkv,178,18.815,4.891
seq7.mkv,179,18.831,6.991
seq7.mkv,180,18.888,5.197
seq7.mkv,181,18.931,6.959
seq7.mkv,182,18.814,4.873
seq7.mkv,183,18.852,6.348
seq7.mkv,184,18.897,4.659
seq7.mkv,185,19.104,6.01
seq7.mkv,186,19.278,4.459
seq7.mkv,187,19.124,6.03
seq7.mkv,188,19.108,4.615
seq7.mkv,189,19.12,6.479
seq7.mkv,190,18.927,4.692
seq7.mkv,191,18.804,6.36
seq7.mkv,192,18.814,4.666
seq7.mkv,193,18.92,6.339
seq7.mkv,194,19.013,4.611
seq7.mkv,195,18.911,5.901
seq7.mkv,196,18.867,4.064
seq7.mkv,197,18.938,4.818
seq7.mkv,198,18.988,3.173
seq7.mkv,199,18.904,3.994
seq7.mkv,200,18.739,5.179
seq7.mkv,201,18.648,4.089
seq7.mkv,202,18.645,3.088
seq7.mkv,203,18.461,4.547
seq7.mkv,204,18.259,3.739
seq7.mkv,205,18.143,7.655
seq7.mkv,206,17.936,3.832
seq7.mkv,207,17.794,4.903
seq7.mkv,208,17.849,3.741
seq7.mkv,209,17.75,5.675
seq7.mkv,210,17.691,4.058
seq7.mkv,211,17.629,6.573
seq7.mkv,212,17.63,4.901
seq7.mkv,213,17.637,7.184
seq7.mkv,214,17.732,5.598
seq7.mkv,215,17.818,8.395
seq7.mkv,216,17.893,6.05
seq7.mkv,217,18.022,8.707
seq7.mkv,218,17.93,5.772
seq7.mkv,219,17.763,8.006
seq7.mkv,220,17.785,5.192
seq7.mkv,221,17.758,7.152
seq7.mkv,222,17.786,4.642
seq7.mkv,223,17.836,16.845
seq7.mkv,224,17.707,3.671
seq7.mkv,225,17.852,4.606
seq7.mkv,226,17.8,2.734
seq7.mkv,227,17.882,3.968
seq7.mkv,228,18.092,3.072
seq7.mkv,229,18.305,3.978
seq7.mkv,230,18.145,3.064
seq7.mkv,231,18.498,4.661
seq7.mkv,232,18.493,3.804
seq7.mkv,233,18.073,5.138
seq7.mkv,234,17.89,3.832
seq7.mkv,235,17.404,4.994
seq7.mkv,236,17.255,3.304
seq7.mkv,237,32.29,49.823
seq7.mkv,238,31.899,18.769
seq7.mkv,239,33.816,23.678
seq7.mkv,240,35.718,22.257

