input_file,n,si,ti
seq6.mkv,1,34.043,
seq6.mkv,2,34.088,2.361
seq6.mkv,3,44.738,38.12
seq6.mkv,4,44.792,3.331
seq6.mkv,5,44.806,3.213
seq6.mkv,6,44.798,3.29
seq6.mkv,7,44.836,3.35
seq6.mkv,8,44.814,3.198
seq6.mkv,9,44.845,3.003
seq6.mkv,10,44.859,3.263
seq6.mkv,11,44.841,3.039
seq6.mkv,12,44.805,3.229
seq6.mkv,13,44.893,3.555
seq6.mkv,14,44.907,2.968
seq6.mkv,15,44.897,3.32
seq6.mkv,16,44.839,3.225
seq6.mkv,17,44.903,3.384
seq6.mkv,18,44.919,3.242
seq6.mkv,19,44.962,3.266
seq6.mkv,20,44.888,3.292
seq6.mkv,21,44.919,3.181
seq6.mkv,22,44.918,3.101
seq6.mkv,23,44.928,3.253
seq6.mkv,24,44.947,2.961
seq6.mkv,25,44.932,3.21
seq6.mkv,26,44.927,3.139
seq6.mkv,27,44.92,3.281
seq6.mkv,28,44.899,3.248
seq6.mkv,29,44.936,3.224
seq6.mkv,30,44.931,3.16
seq6.mkv,31,44.896,3.126
seq6.mkv,32,44.944,3.201
seq6.mkv,33,44.933,3.147
seq6.mkv,34,44.91,3.329
seq6.mkv,35,44.912,3.502
seq6.mkv,36,44.955,3.381
seq6.mkv,37,44.971,3.429
seq6.mkv,38,45.008,3.451
seq6.mkv,39,44.967,3.612
seq6.mkv,40,44.975,3.722
seq6.mkv,41,45.0,3.716
seq6.mkv,42,45.039,3.698
seq6.mkv,43,45.02,3.653
seq6.mkv,44,44.928,3.968
seq6.mkv,45,45.0,3.813
seq6.mkv,46,45.026,4.075
seq6.mkv,47,44.993,4.495
seq6.mkv,48,44.995,4.903
seq6.mkv,49,45.075,5.034
seq6.mkv,50,45.0,5.774
seq6.mkv,51,45.033,6.881
seq6.mkv,52,44.982,7.342
seq6.mkv,53,45.076,8.757
seq6.mkv,54,45.156,8.246
seq6.mkv,55,45.168,10.399
seq6.mkv,56,44.893,8.708
seq6.mkv,57,45.212,9.267
seq6.mkv,58,45.021,9.333
seq6.mkv,59,45.301,9.443
seq6.mkv,60,45.057,7.635
seq6.mkv,61,44.923,8.532
seq6.mkv,62,44.933,8.8
seq6.mkv,63,44.978,6.752
seq6.mkv,64,44.881,6.901
seq6.mkv,65,44.722,6.998
seq6.mkv,66,44.704,7.106
seq6.mkv,67,44.484,6.483
seq6.mkv,68,44.505,7.671
seq6.mkv,69,44.293,7.211
seq6.mkv,70,44.297,7.0
seq6.mkv,71,44.399,7.218
seq6.mkv,72,44.333,7.714
seq6.mkv,73,44.377,7.81
seq6.mkv,74,44.43,8.177
seq6.mkv,75,44.614,8.938
seq6.mkv,76,44.451,8.522
seq6.mkv,77,44.627,8.927
seq6.mkv,78,44.709,9.585
seq6.mkv,79,44.851,9.745
seq6.mkv,80,44.544,10.484
seq6.mkv,81,45.12,10.5
seq6.mkv,82,44.663,10.261
seq6.mkv,83,44.861,9.684
seq6.mkv,84,44.854,9.81
seq6.mkv,85,45.041,10.483
seq6.mkv,86,44.668,10.842
seq6.mkv,87,44.927,12.246
seq6.mkv,88,44.301,9.959
seq6.mkv,89,44.395,9.782
seq6.mkv,90,44.122,7.776
seq6.mkv,91,44.197,7.166
seq6.mkv,92,44.165,7.069
seq6.mkv,93,44.012,7.874
seq6.mkv,94,44.214,6.717
seq6.mkv,95,44.158,7.873
seq6.mkv,96,44.141,6.837
seq6.mkv,97,44.08,7.327
seq6.mkv,98,43.962,7.351
seq6.mkv,99,43.921,7.921
seq6.mkv,100,44.076,7.667
seq6.mkv,101,43.852,8.089
seq6.mkv,102,43.857,8.201
seq6.mkv,103,43.836,8.56
seq6.mkv,104,43.899,8.773
seq6.mkv,105,43.951,8.507
seq6.mkv,106,43.972,8.613
seq6.mkv,107,44.173,8.325
seq6.mkv,108,44.242,9.598
seq6.mkv,109,44.338,8.791
seq6.mkv,110,44.24,10.871
seq6.mkv,111,44.458,10.203
seq6.mkv,112,44.172,10.646
seq6.mkv,113,44.064,8.423
seq6.mkv,114,44.215,8.707
seq6.mkv,115,44.144,9.258
seq6.mkv,116,44.302,9.917
seq6.mkv,117,44.181,12.038
seq6.mkv,118,44.271,11.44
seq6.mkv,119,44.178,11.413
seq6.mkv,120,44.54,11.314
seq6.mkv,121,44.159,11.017
seq6.mkv,122,44.767,9.883
seq6.mkv,123,44.322,10.144
seq6.mkv,124,44.582,10.345
seq6.mkv,125,44.321,7.994
seq6.mkv,126,44.39,7.479
seq6.mkv,127,44.521,6.255
seq6.mkv,128,44.379,6.233
seq6.mkv,129,44.216,6.965
seq6.mkv,130,44.4,6.346
seq6.mkv,131,44.478,6.137
seq6.mkv,132,44.293,6.693
seq6.mkv,133,44.414,6.323
seq6.mkv,134,44.304,6.539
seq6.mkv,135,44.257,6.494
seq6.mkv,136,44.201,6.557
seq6.mkv,137,44.134,6.975
seq6.mkv,138,44.152,7.138
seq6.mkv,139,44.32,7.491
