input_file,n,si,ti
seq8.mkv,1,79.33,
seq8.mkv,2,81.301,19.554
seq8.mkv,3,81.209,0.268
seq8.mkv,4,85.482,27.064
seq8.mkv,5,87.891,20.023
seq8.mkv,6,88.309,20.09
seq8.mkv,7,88.89,20.178
seq8.mkv,8,88.619,28.072
seq8.mkv,9,88.223,20.997
seq8.mkv,10,88.371,20.82
seq8.mkv,11,87.878,20.25
seq8.mkv,12,87.868,26.013
seq8.mkv,13,87.338,19.188
seq8.mkv,14,86.889,20.208
seq8.mkv,15,86.968,21.177
seq8.mkv,16,86.056,27.489
seq8.mkv,17,84.225,18.369
seq8.mkv,18,79.2,17.028
seq8.mkv,19,75.717,16.602
seq8.mkv,20,70.637,22.735
seq8.mkv,21,64.644,15.946
seq8.mkv,22,61.712,14.218
seq8.mkv,23,57.572,12.643
seq8.mkv,24,51.259,15.267
seq8.mkv,25,49.471,11.094
seq8.mkv,26,43.955,10.622
seq8.mkv,27,41.607,9.527
seq8.mkv,28,36.272,10.718
seq8.mkv,29,32.648,7.031
seq8.mkv,30,28.973,6.433
seq8.mkv,31,25.241,5.791
seq8.mkv,32,20.908,6.287
seq8.mkv,33,18.924,4.205
seq8.mkv,34,14.678,3.569
seq8.mkv,35,12.826,2.79
seq8.mkv,36,14.492,6.435
seq8.mkv,37,17.903,8.317
seq8.mkv,38,21.122,6.678
seq8.mkv,39,24.715,7.037
seq8.mkv,40,28.951,8.034
seq8.mkv,41,36.396,11.639
seq8.mkv,42,38.617,10.222
seq8.mkv,43,41.091,11.668
seq8.mkv,44,42.606,11.217
seq8.mkv,45,50.484,17.069
seq8.mkv,46,54.55,14.359
seq8.mkv,47,57.693,15.266
seq8.mkv,48,61.202,16.087
seq8.mkv,49,65.976,21.09
seq8.mkv,50,68.31,17.724
seq8.mkv,51,70.218,17.879
seq8.mkv,52,71.897,17.914
seq8.mkv,53,75.45,22.675
seq8.mkv,54,76.717,18.107
seq8.mkv,55,78.269,18.486
seq8.mkv,56,79.22,18.597
seq8.mkv,57,81.587,24.263
seq8.mkv,58,81.997,18.631
seq8.mkv,59,82.855,18.69
seq8.mkv,60,83.41,18.789
seq8.mkv,61,83.739,24.887
seq8.mkv,62,83.652,18.693
seq8.mkv,63,84.251,18.711
seq8.mkv,64,83.714,18.665
seq8.mkv,65,83.214,24.374
seq8.mkv,66,82.437,17.609
seq8.mkv,67,82.314,17.505
seq8.mkv,68,81.687,17.537
seq8.mkv,69,80.868,23.793
seq8.mkv,70,80.688,17.485
seq8.mkv,71,79.767,17.182
seq8.mkv,72,79.554,16.872
seq8.mkv,73,78.398,22.312
seq8.mkv,74,78.253,16.166
seq8.mkv,75,75.615,15.96
seq8.mkv,76,71.268,15.4
seq8.mkv,77,64.957,19.487
seq8.mkv,78,62.834,13.518
seq8.mkv,79,60.003,13.014
seq8.mkv,80,58.319,12.143
seq8.mkv,81,53.741,14.023
seq8.mkv,82,52.362,8.769
seq8.mkv,83,51.92,9.048
seq8.mkv,84,52.046,8.314
seq8.mkv,85,51.926,9.799
seq8.mkv,86,53.299,6.236
seq8.mkv,87,56.251,7.921
seq8.mkv,88,58.127,5.973
seq8.mkv,89,61.179,6.711
seq8.mkv,90,65.492,5.846
seq8.mkv,91,69.798,9.303
seq8.mkv,92,72.629,5.385
seq8.mkv,93,78.968,5.98
seq8.mkv,94,81.275,6.652
seq8.mkv,95,83.389,12.45
seq8.mkv,96,83.133,7.338
