input_file,n,si,ti
seq2.mkv,1,30.229,
seq2.mkv,2,30.292,14.976
seq2.mkv,3,31.409,18.951
seq2.mkv,4,30.579,18.499
seq2.mkv,5,30.601,19.662
seq2.mkv,6,29.899,18.202
seq2.mkv,7,30.111,20.197
seq2.mkv,8,29.953,19.651
seq2.mkv,9,30.107,23.044
seq2.mkv,10,29.265,22.271
seq2.mkv,11,29.805,25.307
seq2.mkv,12,28.946,22.596
seq2.mkv,13,28.197,26.584
seq2.mkv,14,26.86,24.047
seq2.mkv,15,27.0,28.749
seq2.mkv,16,27.233,25.662
seq2.mkv,17,27.332,32.055
seq2.mkv,18,26.944,20.183
seq2.mkv,19,27.255,22.824
seq2.mkv,20,26.913,20.422
seq2.mkv,21,28.218,25.92
seq2.mkv,22,27.113,22.563
seq2.mkv,23,27.499,28.508
seq2.mkv,24,27.667,24.115
seq2.mkv,25,27.717,30.391
seq2.mkv,26,27.48,28.079
seq2.mkv,27,28.685,28.577
seq2.mkv,28,27.837,24.614
seq2.mkv,29,27.906,30.636
seq2.mkv,30,27.999,25.396
seq2.mkv,31,27.87,29.69
seq2.mkv,32,27.454,27.094
seq2.mkv,33,28.369,31.183
seq2.mkv,34,31.536,47.172
seq2.mkv,35,29.288,34.687
seq2.mkv,36,29.563,28.133
seq2.mkv,37,32.503,29.809
seq2.mkv,38,30.417,23.633
seq2.mkv,39,29.627,26.956
seq2.mkv,40,33.63,25.12
seq2.mkv,41,34.272,32.042
seq2.mkv,42,33.011,27.172
seq2.mkv,43,33.176,31.219
seq2.mkv,44,34.616,28.071
seq2.mkv,45,34.804,33.488
seq2.mkv,46,34.548,28.255
seq2.mkv,47,36.294,29.14
seq2.mkv,48,36.246,22.514
seq2.mkv,49,29.847,47.126
seq2.mkv,50,30.604,25.087
seq2.mkv,51,30.507,29.631
seq2.mkv,52,30.852,21.082
seq2.mkv,53,30.699,19.806
seq2.mkv,54,31.023,17.574
seq2.mkv,55,31.793,20.835
seq2.mkv,56,31.728,18.529
seq2.mkv,57,32.085,22.951
