input_file,n,si,ti
seq3.mkv,1,0.0,
seq3.mkv,2,0.0,0.0
seq3.mkv,3,0.0,0.0
seq3.mkv,4,0.0,0.0
seq3.mkv,5,0.041,0.018
seq3.mkv,6,0.77,0.617
seq3.mkv,7,1.871,2.307
seq3.mkv,8,3.169,1.551
seq3.mkv,9,5.373,2.185
seq3.mkv,10,6.667,1.362
seq3.mkv,11,9.04,1.909
seq3.mkv,12,10.062,1.111
seq3.mkv,13,11.904,1.579
seq3.mkv,14,12.93,0.989
seq3.mkv,15,14.409,1.445
seq3.mkv,16,15.313,0.965
seq3.mkv,17,16.544,1.397
seq3.mkv,18,17.495,1.012
seq3.mkv,19,18.948,1.491
seq3.mkv,20,19.72,1.202
seq3.mkv,21,21.01,1.56
seq3.mkv,22,21.922,1.301
seq3.mkv,23,23.301,1.633
seq3.mkv,24,24.194,1.232
seq3.mkv,25,25.211,1.648
seq3.mkv,26,26.054,1.494
seq3.mkv,27,27.224,2.056
seq3.mkv,28,28.147,1.314
seq3.mkv,29,29.327,1.654
seq3.mkv,30,30.155,1.228
seq3.mkv,31,31.416,1.808
seq3.mkv,32,32.343,1.278
seq3.mkv,33,33.558,1.656
seq3.mkv,34,34.535,1.314
seq3.mkv,35,35.342,1.856
seq3.mkv,36,36.341,1.336
seq3.mkv,37,38.053,1.933
seq3.mkv,38,38.636,1.501
seq3.mkv,39,38.424,2.1
seq3.mkv,40,38.371,1.685
seq3.mkv,41,38.407,1.677
seq3.mkv,42,38.275,1.335
seq3.mkv,43,38.255,1.993
seq3.mkv,44,38.236,1.825
seq3.mkv,45,38.256,1.813
seq3.mkv,46,38.287,1.596
seq3.mkv,47,38.391,2.217
seq3.mkv,48,38.365,1.853
seq3.mkv,49,38.462,1.732
seq3.mkv,50,38.608,2.062
seq3.mkv,51,38.843,2.253
seq3.mkv,52,39.138,1.349
seq3.mkv,53,39.095,1.632
seq3.mkv,54,39.136,1.492
seq3.mkv,55,39.092,1.958
seq3.mkv,56,39.162,1.685
seq3.mkv,57,39.133,1.809
seq3.mkv,58,39.143,1.86
seq3.mkv,59,39.132,2.057
seq3.mkv,60,39.047,1.742
seq3.mkv,61,39.007,1.173
seq3.mkv,62,38.847,2.023
seq3.mkv,63,38.891,2.157
seq3.mkv,64,38.793,1.867
seq3.mkv,65,38.832,1.568
seq3.mkv,66,38.75,1.216
seq3.mkv,67,38.665,1.782
seq3.mkv,68,38.67,1.556
seq3.mkv,69,38.757,1.14
seq3.mkv,70,38.64,0.981
seq3.mkv,71,38.737,1.481
seq3.mkv,72,38.645,1.351
seq3.mkv,73,38.645,1.344
seq3.mkv,74,38.58,1.176
seq3.mkv,75,38.669,2.223
seq3.mkv,76,38.745,1.498
seq3.mkv,77,38.873,1.48
seq3.mkv,78,38.849,1.149
seq3.mkv,79,38.761,2.136
seq3.mkv,80,38.904,1.568
seq3.mkv,81,38.959,1.324
seq3.mkv,82,39.095,1.191
seq3.mkv,83,39.285,1.82
seq3.mkv,84,39.337,1.351
seq3.mkv,85,39.434,1.447
seq3.mkv,86,39.403,1.473
seq3.mkv,87,39.543,1.821
seq3.mkv,88,39.572,1.629
seq3.mkv,89,39.703,1.504
seq3.mkv,90,39.74,1.394
seq3.mkv,91,39.904,2.195
seq3.mkv,92,39.915,1.63
seq3.mkv,93,40.101,2.067
seq3.mkv,94,40.137,1.858
seq3.mkv,95,40.198,2.073
seq3.mkv,96,40.345,1.539
seq3.mkv,97,40.376,1.411
seq3.mkv,98,40.669,1.429
seq3.mkv,99,41.102,1.82
seq3.mkv,100,41.15,1.436
seq3.mkv,101,41.262,1.258
seq3.mkv,102,41.342,1.366
seq3.mkv,103,41.515,2.055
seq3.mkv,104,41.728,2.038
seq3.mkv,105,41.816,1.769
seq3.mkv,106,42.093,2.055
seq3.mkv,107,42.513,1.843
seq3.mkv,108,42.741,1.129
seq3.mkv,109,43.21,1.224
seq3.mkv,110,43.302,1.216
seq3.mkv,111,43.394,2.071
seq3.mkv,112,43.386,1.422
seq3.mkv,113,43.38,1.697
seq3.mkv,114,43.46,1.828
seq3.mkv,115,43.55,2.692
seq3.mkv,116,43.723,1.424
seq3.mkv,117,43.746,1.588
seq3.mkv,118,43.853,1.835
seq3.mkv,119,44.103,1.886
seq3.mkv,120,44.223,1.213
seq3.mkv,121,44.363,1.567
seq3.mkv,122,44.302,0.973
seq3.mkv,123,44.298,1.562
seq3.mkv,124,44.341,1.722
seq3.mkv,125,44.387,1.658
seq3.mkv,126,44.534,1.579
seq3.mkv,127,44.828,2.046
seq3.mkv,128,44.832,2.074
seq3.mkv,129,44.828,1.763
seq3.mkv,130,44.912,1.16
seq3.mkv,131,44.768,1.956
seq3.mkv,132,44.86,1.54
seq3.mkv,133,44.369,1.817
seq3.mkv,134,43.69,2.441
seq3.mkv,135,42.293,2.351
seq3.mkv,136,41.242,1.593
seq3.mkv,137,40.337,1.706
seq3.mkv,138,39.424,1.355
seq3.mkv,139,37.735,1.961
seq3.mkv,140,36.87,1.58
seq3.mkv,141,35.797,1.523
seq3.mkv,142,34.961,1.829
seq3.mkv,143,33.652,2.541
seq3.mkv,144,32.898,2.046
seq3.mkv,145,32.108,1.854
seq3.mkv,146,31.602,1.324
seq3.mkv,147,30.656,1.704
seq3.mkv,148,30.026,1.16
seq3.mkv,149,29.586,1.505
seq3.mkv,150,28.918,1.185
seq3.mkv,151,28.475,1.618
seq3.mkv,152,28.016,1.072
seq3.mkv,153,27.826,1.276
seq3.mkv,154,27.651,1.02
seq3.mkv,155,27.446,1.406
seq3.mkv,156,27.322,1.179
seq3.mkv,157,27.542,1.317
seq3.mkv,158,27.622,1.026
seq3.mkv,159,28.088,1.47
seq3.mkv,160,28.475,1.234
seq3.mkv,161,29.234,1.391
seq3.mkv,162,29.62,1.061
seq3.mkv,163,30.204,1.343
seq3.mkv,164,30.721,1.164
seq3.mkv,165,32.185,1.879
seq3.mkv,166,32.729,1.19
seq3.mkv,167,33.177,1.269
seq3.mkv,168,33.965,1.165
seq3.mkv,169,35.044,1.691
seq3.mkv,170,35.208,1.094
seq3.mkv,171,35.194,0.984
seq3.mkv,172,35.249,0.939
seq3.mkv,173,35.354,1.059
seq3.mkv,174,35.429,1.026
seq3.mkv,175,35.449,1.008
seq3.mkv,176,35.457,0.989
seq3.mkv,177,35.519,1.117
seq3.mkv,178,35.622,1.046
seq3.mkv,179,35.588,1.107
seq3.mkv,180,35.589,0.992
seq3.mkv,181,35.554,1.22
seq3.mkv,182,35.903,1.049
seq3.mkv,183,35.758,1.064
seq3.mkv,184,35.718,1.046
seq3.mkv,185,35.868,1.116
seq3.mkv,186,35.757,0.973
seq3.mkv,187,35.74,1.006
seq3.mkv,188,35.913,1.018
seq3.mkv,189,35.84,1.05
seq3.mkv,190,35.898,0.967
seq3.mkv,191,35.738,0.99
seq3.mkv,192,35.867,1.006
seq3.mkv,193,35.652,1.199
seq3.mkv,194,35.917,1.058
seq3.mkv,195,35.79,1.02
seq3.mkv,196,35.654,0.909
seq3.mkv,197,35.742,1.112
seq3.mkv,198,35.623,0.993
seq3.mkv,199,35.582,0.895
seq3.mkv,200,35.582,0.889
seq3.mkv,201,35.68,1.042
seq3.mkv,202,35.613,0.915
seq3.mkv,203,35.727,0.93
seq3.mkv,204,35.362,1.078
seq3.mkv,205,35.398,0.876
seq3.mkv,206,35.503,1.256
seq3.mkv,207,35.48,0.84
seq3.mkv,208,35.505,0.839
seq3.mkv,209,35.564,0.744
seq3.mkv,210,35.561,1.085
seq3.mkv,211,35.625,0.82
seq3.mkv,212,35.454,0.814
seq3.mkv,213,35.482,0.803
seq3.mkv,214,35.409,0.897
seq3.mkv,215,35.472,0.82
seq3.mkv,216,35.45,0.837
seq3.mkv,217,35.475,0.889
seq3.mkv,218,35.542,0.897
seq3.mkv,219,35.544,0.663
seq3.mkv,220,35.698,0.775
seq3.mkv,221,35.177,0.897
seq3.mkv,222,35.54,0.934
seq3.mkv,223,35.557,0.677
seq3.mkv,224,35.585,0.744
seq3.mkv,225,35.603,0.732
seq3.mkv,226,35.572,0.824
seq3.mkv,227,35.616,0.766
seq3.mkv,228,35.685,0.78
seq3.mkv,229,35.658,0.749
seq3.mkv,230,35.614,0.85
seq3.mkv,231,35.63,0.764
seq3.mkv,232,35.795,1.159
seq3.mkv,233,35.423,1.16
seq3.mkv,234,35.686,0.948
seq3.mkv,235,35.571,0.667
