input_file,n,si,ti
seq5.mkv,1,41.548,
seq5.mkv,2,41.392,14.132
seq5.mkv,3,41.385,14.233
seq5.mkv,4,41.372,14.058
seq5.mkv,5,41.367,13.603
seq5.mkv,6,41.423,11.674
seq5.mkv,7,41.422,11.828
seq5.mkv,8,41.604,10.924
seq5.mkv,9,41.797,11.024
seq5.mkv,10,41.905,11.801
seq5.mkv,11,42.058,12.754
seq5.mkv,12,42.281,13.621
seq5.mkv,13,42.473,14.203
seq5.mkv,14,42.694,14.483
seq5.mkv,15,42.888,15.255
seq5.mkv,16,43.274,15.685
seq5.mkv,17,43.314,16.021
seq5.mkv,18,43.915,16.496
seq5.mkv,19,44.343,16.66
seq5.mkv,20,44.692,16.886
seq5.mkv,21,44.999,16.357
seq5.mkv,22,45.256,16.615
seq5.mkv,23,45.335,16.434
seq5.mkv,24,45.504,15.877
seq5.mkv,25,45.605,15.134
seq5.mkv,26,45.842,14.483
seq5.mkv,27,46.019,15.224
seq5.mkv,28,46.302,17.476
seq5.mkv,29,46.751,18.655
seq5.mkv,30,47.106,19.042
seq5.mkv,31,47.657,18.92
seq5.mkv,32,47.772,17.834
seq5.mkv,33,47.813,15.536
seq5.mkv,34,47.695,15.131
seq5.mkv,35,47.522,15.674
seq5.mkv,36,47.486,16.078
seq5.mkv,37,47.464,16.213
seq5.mkv,38,47.359,16.155
seq5.mkv,39,47.305,15.904
seq5.mkv,40,47.27,15.462
seq5.mkv,41,47.233,15.22
seq5.mkv,42,47.101,15.376
seq5.mkv,43,47.056,14.68
seq5.mkv,44,47.09,13.309
seq5.mkv,45,47.111,11.516
seq5.mkv,46,47.117,8.904
seq5.mkv,47,47.106,7.243
seq5.mkv,48,47.089,9.375
seq5.mkv,49,47.114,13.966
seq5.mkv,50,47.075,16.014
seq5.mkv,51,47.021,16.786
seq5.mkv,52,47.078,16.895
seq5.mkv,53,47.068,16.52
seq5.mkv,54,46.983,15.358
seq5.mkv,55,46.876,13.634
seq5.mkv,56,46.996,14.502
seq5.mkv,57,47.003,15.709
seq5.mkv,58,47.167,17.344
seq5.mkv,59,47.203,18.014
seq5.mkv,60,47.463,17.665
seq5.mkv,61,47.365,17.276
seq5.mkv,62,47.213,16.372
seq5.mkv,63,47.225,16.348
seq5.mkv,64,47.144,16.032
seq5.mkv,65,47.39,15.891
seq5.mkv,66,47.505,16.067
seq5.mkv,67,47.396,16.256
seq5.mkv,68,47.315,16.219
seq5.mkv,69,47.364,16.129
seq5.mkv,70,47.458,16.337
seq5.mkv,71,47.163,16.577
seq5.mkv,72,46.723,17.21
seq5.mkv,73,46.76,17.461
seq5.mkv,74,46.684,17.54
seq5.mkv,75,46.894,17.207
seq5.mkv,76,46.65,16.262
seq5.mkv,77,46.421,15.525
seq5.mkv,78,46.139,14.83
seq5.mkv,79,45.595,14.256
seq5.mkv,80,45.293,13.549
seq5.mkv,81,44.809,13.103
seq5.mkv,82,44.583,13.247
seq5.mkv,83,44.107,13.634
seq5.mkv,84,43.789,12.992
seq5.mkv,85,43.768,12.115
seq5.mkv,86,43.514,11.642
seq5.mkv,87,43.296,12.036
seq5.mkv,88,43.055,12.464
seq5.mkv,89,42.966,12.276
seq5.mkv,90,42.832,11.913
seq5.mkv,91,42.792,11.878
seq5.mkv,92,42.911,12.466
seq5.mkv,93,43.036,13.202
seq5.mkv,94,42.896,13.616
seq5.mkv,95,42.682,13.227
seq5.mkv,96,42.593,11.702
seq5.mkv,97,42.594,11.653
seq5.mkv,98,42.594,12.856
seq5.mkv,99,42.72,13.29
seq5.mkv,100,42.745,13.096
seq5.mkv,101,42.837,12.202
seq5.mkv,102,42.914,11.0
seq5.mkv,103,42.968,10.826
seq5.mkv,104,42.901,10.82
seq5.mkv,105,42.889,10.755
seq5.mkv,106,42.976,10.713
seq5.mkv,107,43.071,10.702
seq5.mkv,108,43.111,10.885
seq5.mkv,109,43.061,11.837
seq5.mkv,110,43.08,13.53
seq5.mkv,111,43.231,14.121
seq5.mkv,112,43.432,14.31
seq5.mkv,113,43.63,14.445
seq5.mkv,114,43.887,14.481
seq5.mkv,115,44.0,14.337
seq5.mkv,116,44.051,13.991
seq5.mkv,117,43.966,13.654
seq5.mkv,118,43.965,13.715
seq5.mkv,119,44.053,12.981
seq5.mkv,120,44.203,11.662
seq5.mkv,121,44.188,9.949
seq5.mkv,122,44.151,9.241
seq5.mkv,123,44.128,9.318
seq5.mkv,124,44.062,9.322
seq5.mkv,125,43.931,10.065
seq5.mkv,126,43.793,11.078
seq5.mkv,127,43.665,11.764
seq5.mkv,128,43.565,11.914
seq5.mkv,129,43.452,11.36
seq5.mkv,130,43.373,10.157
seq5.mkv,131,43.254,10.579
seq5.mkv,132,43.069,12.152
seq5.mkv,133,42.779,12.36
seq5.mkv,134,42.657,11.824
seq5.mkv,135,42.543,10.74
seq5.mkv,136,42.401,9.578
seq5.mkv,137,42.317,10.209
seq5.mkv,138,42.236,10.38
seq5.mkv,139,42.093,9.834
seq5.mkv,140,41.903,9.511
seq5.mkv,141,41.659,9.376
seq5.mkv,142,41.343,9.678
seq5.mkv,143,41.161,10.543
seq5.mkv,144,40.91,11.899
seq5.mkv,145,40.705,12.415
seq5.mkv,146,40.458,12.034
seq5.mkv,147,40.226,11.584
seq5.mkv,148,40.103,11.253
seq5.mkv,149,39.966,11.377
seq5.mkv,150,39.933,11.813
seq5.mkv,151,39.785,12.658
seq5.mkv,152,39.639,11.849
seq5.mkv,153,39.518,10.568
seq5.mkv,154,39.64,9.527
seq5.mkv,155,39.559,9.148
seq5.mkv,156,39.535,9.711
seq5.mkv,157,39.323,11.173
seq5.mkv,158,39.155,12.539
seq5.mkv,159,39.005,12.771
seq5.mkv,160,38.933,13.017
seq5.mkv,161,38.797,12.957
seq5.mkv,162,38.632,13.219
seq5.mkv,163,38.43,13.201
seq5.mkv,164,38.158,13.25
seq5.mkv,165,38.1,12.558
seq5.mkv,166,37.988,11.617
seq5.mkv,167,37.773,10.576
seq5.mkv,168,37.679,9.391
seq5.mkv,169,37.587,8.39
seq5.mkv,170,37.512,7.953
seq5.mkv,171,37.527,7.786
seq5.mkv,172,37.409,8.23
seq5.mkv,173,37.285,7.693
seq5.mkv,174,37.214,6.821
seq5.mkv,175,37.188,8.135
seq5.mkv,176,37.21,9.682
seq5.mkv,177,37.173,10.533
seq5.mkv,178,37.206,10.872
seq5.mkv,179,37.408,10.836
seq5.mkv,180,37.504,10.777
seq5.mkv,181,37.563,10.846
seq5.mkv,182,37.605,11.336
seq5.mkv,183,37.687,12.242
seq5.mkv,184,37.649,13.188
seq5.mkv,185,37.515,14.09
seq5.mkv,186,37.514,14.569
seq5.mkv,187,37.546,15.06
seq5.mkv,188,37.513,15.159
seq5.mkv,189,37.573,14.772
seq5.mkv,190,37.766,14.117
seq5.mkv,191,37.875,13.416
seq5.mkv,192,38.002,12.642
seq5.mkv,193,38.122,11.473
seq5.mkv,194,38.016,9.989
seq5.mkv,195,37.979,8.661
seq5.mkv,196,38.081,8.346
seq5.mkv,197,38.156,8.342
seq5.mkv,198,38.153,8.54
seq5.mkv,199,38.182,8.757
seq5.mkv,200,38.163,10.277
seq5.mkv,201,38.13,11.353
seq5.mkv,202,38.171,11.382
seq5.mkv,203,38.134,10.812
seq5.mkv,204,38.193,9.878
seq5.mkv,205,38.162,9.047
seq5.mkv,206,38.196,8.931
seq5.mkv,207,38.142,7.409
seq5.mkv,208,38.107,6.88
seq5.mkv,209,38.126,7.41
seq5.mkv,210,38.102,7.748
seq5.mkv,211,38.056,8.52
seq5.mkv,212,37.949,8.601
seq5.mkv,213,37.922,8.199
seq5.mkv,214,38.06,8.291
seq5.mkv,215,38.254,8.257
seq5.mkv,216,38.531,8.213
seq5.mkv,217,38.63,8.405
seq5.mkv,218,38.957,8.732
seq5.mkv,219,39.078,8.939
seq5.mkv,220,39.366,10.166
seq5.mkv,221,39.66,9.174
seq5.mkv,222,39.909,9.571
seq5.mkv,223,40.214,9.091
seq5.mkv,224,40.669,8.887
seq5.mkv,225,40.911,8.504
seq5.mkv,226,41.213,8.186
seq5.mkv,227,41.215,9.291
seq5.mkv,228,41.248,10.951
seq5.mkv,229,41.227,12.55
seq5.mkv,230,40.966,13.383
seq5.mkv,231,40.711,13.467
seq5.mkv,232,40.775,13.536
seq5.mkv,233,40.837,12.473
seq5.mkv,234,40.96,11.815
seq5.mkv,235,41.043,14.212
seq5.mkv,236,41.007,14.871
seq5.mkv,237,40.968,14.582
seq5.mkv,238,40.897,13.562
seq5.mkv,239,40.868,11.609
seq5.mkv,240,40.852,8.277

