input_file,n,si,ti
seq4.mkv,1,47.805,
seq4.mkv,2,47.846,7.757
seq4.mkv,3,47.86,10.191
seq4.mkv,4,48.767,10.583
seq4.mkv,5,48.804,12.391
seq4.mkv,6,49.794,11.056
seq4.mkv,7,51.089,14.861
seq4.mkv,8,51.353,11.345
seq4.mkv,9,51.834,13.315
seq4.mkv,10,52.184,11.495
seq4.mkv,11,52.993,15.975
seq4.mkv,12,53.605,12.054
seq4.mkv,13,53.985,14.088
seq4.mkv,14,54.048,12.079
seq4.mkv,15,53.937,15.918
seq4.mkv,16,55.353,12.477
seq4.mkv,17,55.78,14.443
seq4.mkv,18,55.652,12.594
seq4.mkv,19,55.042,16.74
seq4.mkv,20,54.907,12.889
seq4.mkv,21,53.867,14.566
seq4.mkv,22,52.317,11.978
seq4.mkv,23,49.961,15.345
seq4.mkv,24,49.973,11.655
seq4.mkv,25,50.009,13.53
seq4.mkv,26,49.599,11.647
seq4.mkv,27,47.72,15.218
seq4.mkv,28,47.281,10.926
seq4.mkv,29,46.538,12.634
seq4.mkv,30,46.856,11.101
seq4.mkv,31,46.414,14.381
seq4.mkv,32,46.694,11.026
seq4.mkv,33,46.619,12.653
seq4.mkv,34,45.559,10.517
seq4.mkv,35,45.258,13.787
seq4.mkv,36,44.755,10.479
seq4.mkv,37,44.767,12.078
seq4.mkv,38,44.581,10.312
seq4.mkv,39,44.002,13.897
seq4.mkv,40,43.694,10.194
seq4.mkv,41,42.69,11.459
seq4.mkv,42,42.137,9.595
seq4.mkv,43,42.014,12.897
seq4.mkv,44,41.665,9.571
seq4.mkv,45,40.245,10.651
seq4.mkv,46,39.668,8.979
seq4.mkv,47,37.914,12.132
seq4.mkv,48,36.791,7.784
seq4.mkv,49,35.827,9.212
seq4.mkv,50,35.032,7.582
seq4.mkv,51,32.795,9.957
seq4.mkv,52,32.722,7.005
seq4.mkv,53,31.676,7.944
seq4.mkv,54,30.922,6.22
seq4.mkv,55,29.168,8.24
seq4.mkv,56,28.123,5.272
seq4.mkv,57,27.345,6.46
seq4.mkv,58,26.934,4.84
seq4.mkv,59,25.464,6.443
seq4.mkv,60,24.653,4.048
seq4.mkv,61,24.036,5.167
seq4.mkv,62,23.556,3.613
seq4.mkv,63,23.573,4.77
seq4.mkv,64,23.531,2.946
seq4.mkv,65,23.761,4.003
seq4.mkv,66,24.225,2.938
seq4.mkv,67,24.781,2.92
seq4.mkv,68,26.774,4.511
seq4.mkv,69,28.294,3.481
seq4.mkv,70,29.922,4.154
seq4.mkv,71,31.0,3.575
seq4.mkv,72,32.944,6.18
seq4.mkv,73,33.898,3.782
seq4.mkv,74,34.863,3.759
seq4.mkv,75,35.99,3.521
seq4.mkv,76,37.568,7.041
seq4.mkv,77,38.563,3.928
seq4.mkv,78,38.194,62.643
seq4.mkv,79,38.466,3.831
seq4.mkv,80,38.524,6.335
seq4.mkv,81,38.74,3.762
seq4.mkv,82,39.465,4.059
seq4.mkv,83,40.285,4.184
seq4.mkv,84,41.263,6.869
seq4.mkv,85,41.387,4.326
seq4.mkv,86,41.631,4.244
seq4.mkv,87,41.693,4.254
seq4.mkv,88,41.455,7.421
seq4.mkv,89,41.824,4.286
seq4.mkv,90,41.745,4.517
seq4.mkv,91,41.665,4.494
seq4.mkv,92,41.788,7.673
seq4.mkv,93,41.992,4.658
seq4.mkv,94,42.452,4.654
seq4.mkv,95,42.349,4.728
seq4.mkv,96,42.736,7.781
seq4.mkv,97,43.009,4.911
seq4.mkv,98,43.677,4.994
seq4.mkv,99,44.106,4.849
seq4.mkv,100,45.1,7.833
seq4.mkv,101,45.272,5.088
seq4.mkv,102,45.681,5.068
seq4.mkv,103,45.631,5.103
seq4.mkv,104,45.728,8.282
seq4.mkv,105,45.552,5.159
seq4.mkv,106,45.461,5.256
seq4.mkv,107,45.169,5.244
seq4.mkv,108,44.443,8.486
seq4.mkv,109,43.425,5.164
seq4.mkv,110,42.81,5.114
seq4.mkv,111,41.909,5.182
seq4.mkv,112,40.39,8.279
seq4.mkv,113,39.548,4.603
seq4.mkv,114,38.893,4.804
seq4.mkv,115,37.838,4.889
seq4.mkv,116,36.725,7.566
seq4.mkv,117,36.774,4.446
seq4.mkv,118,36.739,4.794
seq4.mkv,119,36.034,4.709
seq4.mkv,120,35.6,7.512
seq4.mkv,121,35.656,4.514
seq4.mkv,122,35.306,4.365
seq4.mkv,123,35.117,4.26
seq4.mkv,124,35.099,7.292
seq4.mkv,125,34.873,4.184
seq4.mkv,126,34.565,4.147
seq4.mkv,127,33.921,4.287
seq4.mkv,128,33.183,6.618
seq4.mkv,129,32.86,3.939
seq4.mkv,130,32.362,4.192
seq4.mkv,131,32.053,3.789
seq4.mkv,132,30.818,6.31
seq4.mkv,133,30.679,3.778
seq4.mkv,134,30.22,3.907
seq4.mkv,135,29.89,3.556
seq4.mkv,136,29.65,5.985
seq4.mkv,137,29.348,3.452
seq4.mkv,138,28.492,3.535
seq4.mkv,139,28.139,3.205
seq4.mkv,140,27.369,5.543
seq4.mkv,141,26.639,3.208
seq4.mkv,142,26.132,3.085
seq4.mkv,143,25.986,2.891
seq4.mkv,144,25.438,5.133
seq4.mkv,145,25.086,2.881
seq4.mkv,146,24.574,2.962
seq4.mkv,147,23.827,3.099
seq4.mkv,148,22.555,4.345
seq4.mkv,149,21.948,2.281
seq4.mkv,150,21.011,2.287
seq4.mkv,151,19.798,2.217
seq4.mkv,152,17.732,2.912
seq4.mkv,153,16.441,1.708
seq4.mkv,154,14.819,1.608
seq4.mkv,155,12.877,1.35
seq4.mkv,156,7.554,1.712
seq4.mkv,157,6.053,0.67
seq4.mkv,158,5.931,1.766
seq4.mkv,159,6.256,2.475
seq4.mkv,160,11.194,3.446
